K,Bytes,AvgTimeMs
# Client started: Wed Jan 28 01:08:00 MSK 2026
# Parameters: N=1024, M=5000, Q=10
0,8,11
1,1032,9
2,2056,8
3,3080,10
4,4104,10
5,5128,9
6,6152,11
7,7176,38
8,8200,8
9,9224,8
10,10248,9
11,11272,10
12,12296,10
13,13320,9
14,14344,11
15,15368,18
16,16392,17
17,17416,15
18,18440,20
19,19464,15
20,20488,17
21,21512,21
22,22536,17
23,23560,21
24,24584,20
25,25608,16
26,26632,20
27,27656,19
28,28680,18
29,29704,17
30,30728,19
31,31752,18
32,32776,18
33,33800,17
34,34824,19
35,35848,18
36,36872,18
37,37896,17
38,38920,20
39,39944,19
40,40968,20
41,41992,21
42,43016,23
43,44040,19
44,45064,26
45,46088,27
46,47112,24
47,48136,24
48,49160,26
49,50184,24
50,51208,28
51,52232,25
52,53256,23
53,54280,24
54,55304,31
55,56328,22
56,57352,26
57,58376,27
58,59400,28
59,60424,24
60,61448,31
61,62472,28
62,63496,29
63,64520,29
64,65544,23
65,66568,24
66,67592,25
67,68616,27
68,69640,26
69,70664,30
70,71688,26
71,72712,27
72,73736,33
73,74760,26
74,75784,25
75,76808,27
76,77832,26
77,78856,28
78,79880,27
79,80904,28
80,81928,29
81,82952,25
82,83976,31
83,85000,27
84,86024,27
85,87048,26
86,88072,28
87,89096,27
88,90120,29
89,91144,27
90,92168,31
91,93192,31
92,94216,24
93,95240,28
94,96264,29
95,97288,36
96,98312,30
97,99336,27
98,100360,34
99,101384,30
100,102408,31
101,103432,33
102,104456,31
103,105480,34
104,106504,32
105,107528,33
106,108552,32
107,109576,33
108,110600,33
109,111624,40
110,112648,31
111,113672,31
112,114696,33
113,115720,35
114,116744,32
115,117768,32
116,118792,54
117,119816,36
118,120840,33
119,121864,34
120,122888,31
121,123912,34
122,124936,32
123,125960,30
124,126984,32
125,128008,39
126,129032,35
127,130056,39
128,131080,39
129,132104,32
130,133128,31
131,134152,33
132,135176,34
133,136200,31
134,137224,32
135,138248,35
136,139272,31
137,140296,35
138,141320,36
139,142344,35
140,143368,38
141,144392,38
142,145416,31
143,146440,36
144,147464,35
145,148488,40
146,149512,39
147,150536,34
148,151560,37
149,152584,36
150,153608,35
151,154632,33
152,155656,35
153,156680,34
154,157704,39
155,158728,36
156,159752,35
157,160776,35
158,161800,34
159,162824,37
160,163848,34
161,164872,40
162,165896,39
163,166920,35
164,167944,36
165,168968,36
166,169992,39
167,171016,36
168,172040,50
169,173064,38
170,174088,40
171,175112,40
172,176136,38
173,177160,34
174,178184,40
175,179208,36
176,180232,37
177,181256,34
178,182280,36
179,183304,35
180,184328,33
181,185352,35
182,186376,37
183,187400,34
184,188424,35
185,189448,32
186,190472,31
187,191496,35
188,192520,36
189,193544,35
190,194568,37
191,195592,37
