K,Bytes,AvgTimeMs
# Client started: Tue Jan 27 16:03:26 MSK 2026
# Parameters: N=8, M=5000, Q=25
0,8,13
1,16,8
2,24,11
3,32,11
4,40,10
5,48,9
6,56,10
7,64,12
8,72,11
9,80,12
10,88,11
11,96,11
12,104,10
13,112,11
14,120,10
15,128,10
16,136,11
17,144,10
18,152,8
19,160,11
20,168,9
21,176,12
22,184,9
23,192,8
24,200,8
25,208,9
26,216,8
27,224,8
28,232,12
29,240,12
30,248,10
31,256,12
32,264,10
33,272,8
34,280,8
35,288,8
36,296,8
37,304,10
38,312,10
39,320,9
40,328,9
41,336,11
42,344,11
43,352,7
44,360,9
45,368,11
46,376,9
47,384,9
48,392,9
49,400,8
50,408,10
51,416,9
52,424,9
53,432,11
54,440,9
55,448,12
56,456,10
57,464,12
58,472,11
59,480,16
60,488,13
61,496,15
62,504,9
63,512,17
64,520,15
65,528,13
66,536,12
67,544,12
68,552,11
69,560,13
70,568,16
71,576,9
72,584,13
73,592,9
74,600,12
75,608,8
76,616,12
77,624,21
78,632,11
79,640,10
80,648,10
81,656,10
82,664,7
83,672,9
84,680,12
85,688,10
86,696,9
87,704,13
88,712,8
89,720,11
90,728,10
91,736,11
92,744,10
93,752,11
94,760,9
95,768,12
96,776,10
97,784,8
98,792,9
99,800,8
100,808,8
101,816,8
102,824,9
103,832,9
104,840,10
105,848,10
106,856,9
107,864,8
108,872,8
109,880,9
110,888,9
111,896,8
112,904,8
113,912,10
114,920,9
115,928,8
116,936,9
117,944,11
118,952,10
119,960,8
120,968,9
121,976,9
122,984,9
123,992,8
124,1000,10
125,1008,9
126,1016,8
127,1024,8
128,1032,9
129,1040,8
130,1048,8
131,1056,12
132,1064,8
133,1072,9
134,1080,8
135,1088,8
136,1096,8
137,1104,9
138,1112,10
139,1120,10
140,1128,9
141,1136,9
142,1144,9
143,1152,15
144,1160,8
145,1168,7
146,1176,7
147,1184,8
148,1192,9
149,1200,9
150,1208,8
151,1216,10
152,1224,8
153,1232,8
154,1240,8
155,1248,10
156,1256,9
157,1264,10
158,1272,8
159,1280,8
160,1288,9
161,1296,10
162,1304,8
163,1312,10
164,1320,8
165,1328,9
166,1336,10
167,1344,8
168,1352,8
169,1360,9
170,1368,8
171,1376,8
172,1384,10
173,1392,10
174,1400,7
175,1408,11
176,1416,9
177,1424,9
178,1432,9
179,1440,10
180,1448,11
181,1456,10
182,1464,10
183,1472,8
184,1480,8
185,1488,8
186,1496,8
187,1504,7
188,1512,8
189,1520,8
190,1528,8
191,1536,8
192,1544,8
193,1552,8
194,1560,7
195,1568,8
196,1576,9
197,1584,9
198,1592,8
199,1600,8
200,1608,9
201,1616,9
202,1624,10
203,1632,10
204,1640,8
205,1648,8
206,1656,10
207,1664,10
208,1672,9
209,1680,9
210,1688,9
211,1696,9
212,1704,8
213,1712,11
214,1720,9
215,1728,8
216,1736,9
217,1744,10
218,1752,10
219,1760,11
220,1768,10
221,1776,8
222,1784,8
223,1792,8
224,1800,8
225,1808,9
226,1816,9
227,1824,10
228,1832,10
229,1840,8
230,1848,9
231,1856,10
232,1864,8
233,1872,9
234,1880,8
235,1888,11
236,1896,10
237,1904,8
238,1912,10
239,1920,9
240,1928,9
241,1936,10
242,1944,9
243,1952,10
244,1960,9
245,1968,9
246,1976,9
247,1984,9
248,1992,8
249,2000,8
250,2008,11
251,2016,10
252,2024,10
253,2032,8
254,2040,14
255,2048,10
256,2056,10
257,2064,9
258,2072,11
259,2080,8
260,2088,10
261,2096,10
262,2104,9
263,2112,8
264,2120,9
265,2128,8
266,2136,8
267,2144,8
268,2152,8
269,2160,8
270,2168,8
271,2176,8
272,2184,11
273,2192,9
274,2200,8
275,2208,8
276,2216,11
277,2224,8
278,2232,8
279,2240,9
280,2248,10
281,2256,9
282,2264,9
283,2272,9
284,2280,11
285,2288,9
286,2296,7
287,2304,10
288,2312,10
289,2320,8
290,2328,9
291,2336,10
292,2344,9
293,2352,8
294,2360,10
295,2368,9
296,2376,9
297,2384,10
298,2392,10
299,2400,8
300,2408,9
301,2416,9
302,2424,8
303,2432,10
304,2440,8
305,2448,11
306,2456,9
307,2464,9
308,2472,10
309,2480,11
310,2488,9
311,2496,8
312,2504,9
313,2512,10
314,2520,9
315,2528,10
316,2536,8
317,2544,8
318,2552,9
319,2560,9
320,2568,12
321,2576,8
322,2584,9
323,2592,9
324,2600,10
325,2608,9
326,2616,11
327,2624,9
328,2632,9
329,2640,9
330,2648,8
331,2656,9
332,2664,9
333,2672,8
334,2680,9
335,2688,10
336,2696,9
337,2704,10
338,2712,8
339,2720,10
340,2728,8
341,2736,10
342,2744,8
343,2752,9
344,2760,10
345,2768,9
346,2776,8
347,2784,8
348,2792,8
349,2800,8
350,2808,10
351,2816,10
352,2824,9
353,2832,9
354,2840,10
355,2848,11
356,2856,10
357,2864,9
358,2872,9
359,2880,10
360,2888,9
361,2896,9
362,2904,9
363,2912,8
364,2920,12
365,2928,9
366,2936,10
367,2944,9
368,2952,9
369,2960,9
370,2968,8
371,2976,10
372,2984,8
373,2992,10
374,3000,10
375,3008,9
376,3016,11
377,3024,8
378,3032,10
379,3040,10
380,3048,10
381,3056,11
