K,Bytes,AvgTimeMs
# Client started: Mon Jan 26 19:33:49 MSK 2026
# Parameters: N=64, M=1000, Q=15
0,8,24
1,72,9
2,136,8
3,200,7
4,264,10
5,328,8
6,392,9
7,456,8
8,520,11
9,584,7
10,648,9
11,712,9
12,776,13
13,840,9
14,904,9
15,968,8
16,1032,9
17,1096,9
18,1160,8
19,1224,7
20,1288,9
21,1352,9
22,1416,9
23,1480,8
24,1544,10
25,1608,9
26,1672,9
27,1736,7
28,1800,9
29,1864,9
30,1928,7
31,1992,10
32,2056,8
33,2120,8
34,2184,8
35,2248,9
36,2312,9
37,2376,9
38,2440,7
39,2504,8
40,2568,8
41,2632,17
42,2696,10
43,2760,8
44,2824,11
45,2888,8
46,2952,8
47,3016,11
48,3080,10
49,3144,9
50,3208,10
51,3272,8
52,3336,8
53,3400,9
54,3464,9
55,3528,8
56,3592,8
57,3656,10
58,3720,13
59,3784,8
60,3848,10
61,3912,10
62,3976,9
63,4040,8
64,4104,9
65,4168,8
66,4232,9
67,4296,9
68,4360,9
69,4424,8
70,4488,10
71,4552,9
72,4616,9
73,4680,9
74,4744,8
75,4808,9
76,4872,10
77,4936,8
78,5000,9
79,5064,11
80,5128,9
81,5192,9
82,5256,11
83,5320,11
84,5384,9
85,5448,10
86,5512,9
87,5576,10
88,5640,8
89,5704,11
90,5768,10
91,5832,9
92,5896,7
93,5960,9
94,6024,11
95,6088,9
96,6152,9
97,6216,8
98,6280,9
99,6344,9
100,6408,9
101,6472,8
102,6536,9
103,6600,8
104,6664,8
105,6728,9
106,6792,10
107,6856,10
108,6920,11
109,6984,11
110,7048,22
111,7112,8
112,7176,10
113,7240,10
114,7304,11
115,7368,9
116,7432,9
117,7496,13
118,7560,9
119,7624,8
120,7688,11
121,7752,9
122,7816,10
123,7880,11
124,7944,12
125,8008,10
126,8072,11
127,8136,14
128,8200,10
129,8264,25
130,8328,9
131,8392,9
132,8456,8
133,8520,10
134,8584,9
135,8648,10
136,8712,10
137,8776,10
138,8840,9
139,8904,8
140,8968,8
141,9032,8
142,9096,10
143,9160,9
144,9224,9
145,9288,8
146,9352,9
147,9416,9
148,9480,10
149,9544,9
150,9608,9
151,9672,8
152,9736,8
153,9800,9
154,9864,10
155,9928,8
156,9992,9
157,10056,12
158,10120,9
159,10184,9
160,10248,9
161,10312,9
162,10376,11
163,10440,10
164,10504,11
165,10568,8
166,10632,10
167,10696,9
168,10760,10
169,10824,10
170,10888,17
171,10952,9
172,11016,8
173,11080,11
174,11144,9
175,11208,10
176,11272,9
177,11336,10
178,11400,10
179,11464,9
180,11528,10
181,11592,11
182,11656,9
183,11720,9
184,11784,11
185,11848,11
186,11912,9
187,11976,10
188,12040,10
189,12104,9
190,12168,10
191,12232,10
192,12296,8
193,12360,11
194,12424,8
195,12488,10
196,12552,9
197,12616,10
198,12680,10
199,12744,12
200,12808,10
201,12872,12
202,12936,8
203,13000,10
204,13064,10
205,13128,11
206,13192,10
207,13256,10
208,13320,25
209,13384,8
210,13448,11
211,13512,10
212,13576,11
213,13640,11
214,13704,9
215,13768,9
216,13832,9
217,13896,9
218,13960,9
219,14024,10
220,14088,11
221,14152,10
222,14216,10
223,14280,10
224,14344,10
225,14408,10
226,14472,9
227,14536,18
228,14600,16
229,14664,16
230,14728,18
231,14792,16
232,14856,19
233,14920,21
234,14984,17
235,15048,19
236,15112,18
237,15176,18
238,15240,15
239,15304,17
240,15368,18
241,15432,17
242,15496,15
243,15560,17
244,15624,18
245,15688,18
246,15752,18
247,15816,17
248,15880,19
249,15944,16
250,16008,16
251,16072,17
252,16136,18
253,16200,15
254,16264,15
255,16328,21
256,16392,17
257,16456,17
258,16520,18
259,16584,15
260,16648,18
261,16712,18
262,16776,17
263,16840,18
264,16904,16
265,16968,16
266,17032,17
267,17096,16
268,17160,16
269,17224,17
270,17288,15
271,17352,19
272,17416,19
273,17480,19
274,17544,16
275,17608,19
276,17672,16
277,17736,16
278,17800,19
279,17864,16
280,17928,18
281,17992,17
282,18056,18
283,18120,20
284,18184,20
285,18248,20
286,18312,19
287,18376,19
288,18440,18
289,18504,18
290,18568,17
291,18632,16
292,18696,20
293,18760,21
294,18824,17
295,18888,17
296,18952,16
297,19016,18
298,19080,17
299,19144,18
300,19208,17
301,19272,21
302,19336,18
303,19400,22
304,19464,17
305,19528,18
306,19592,16
307,19656,19
308,19720,16
309,19784,20
310,19848,36
311,19912,31
312,19976,46
313,20040,18
314,20104,30
315,20168,16
316,20232,17
317,20296,16
318,20360,18
319,20424,22
320,20488,19
321,20552,21
322,20616,19
323,20680,16
324,20744,19
325,20808,16
326,20872,31
327,20936,18
328,21000,40
329,21064,18
330,21128,21
331,21192,18
332,21256,19
333,21320,18
334,21384,19
335,21448,22
336,21512,18
337,21576,18
338,21640,16
339,21704,16
340,21768,21
341,21832,18
342,21896,18
343,21960,17
344,22024,18
345,22088,17
346,22152,18
347,22216,17
348,22280,20
349,22344,20
350,22408,19
351,22472,16
352,22536,19
353,22600,17
354,22664,19
355,22728,22
356,22792,22
357,22856,20
358,22920,18
359,22984,21
360,23048,19
361,23112,18
362,23176,17
363,23240,18
364,23304,19
365,23368,22
366,23432,16
367,23496,20
368,23560,21
369,23624,17
370,23688,18
371,23752,18
372,23816,19
373,23880,18
374,23944,17
375,24008,21
376,24072,19
377,24136,18
378,24200,34
379,24264,17
380,24328,18
381,24392,17
382,24456,17
383,24520,20
384,24584,18
385,24648,16
386,24712,18
387,24776,19
388,24840,19
389,24904,20
390,24968,18
391,25032,19
392,25096,19
393,25160,16
394,25224,19
395,25288,18
396,25352,20
397,25416,18
398,25480,18
399,25544,19
400,25608,18
401,25672,18
402,25736,17
403,25800,18
404,25864,19
405,25928,19
406,25992,17
407,26056,16
408,26120,17
409,26184,18
410,26248,17
411,26312,18
412,26376,19
413,26440,18
414,26504,16
415,26568,18
416,26632,15
417,26696,18
418,26760,17
419,26824,16
420,26888,17
421,26952,17
422,27016,18
423,27080,20
424,27144,17
425,27208,17
426,27272,30
427,27336,17
428,27400,20
429,27464,21
430,27528,18
431,27592,18
432,27656,18
433,27720,19
434,27784,16
435,27848,17
436,27912,19
437,27976,17
438,28040,18
439,28104,20
440,28168,19
441,28232,20
442,28296,18
443,28360,17
444,28424,20
445,28488,18
446,28552,19
447,28616,19
448,28680,20
449,28744,18
